0.000000, -0.346680
0.005000, -0.307617
0.010000, -0.268555
0.015000, -0.229492
0.020000, -0.180664
0.025000, -0.146484
0.030000, -0.107422
0.035000, -0.068359
0.040000, -0.024414
0.045000, 0.004883
0.050000, 0.039062
0.055000, 0.073242
0.060000, 0.107422
0.065000, 0.136719
0.070000, 0.170898
0.075000, 0.185547
0.080000, 0.214844
0.085000, 0.229492
0.090000, 0.253906
0.095000, 0.268555
0.100000, 0.283203
0.105000, 0.297852
0.110000, 0.307617
0.115000, 0.312500
0.120000, 0.317383
0.125000, 0.322266
0.130000, 0.322266
0.135000, 0.327148
0.140000, 0.327148
0.145000, 0.327148
0.150000, 0.327148
0.155000, 0.322266
0.160000, 0.317383
0.165000, 0.312500
0.170000, 0.312500
0.175000, 0.307617
0.180000, 0.302734
0.185000, 0.292969
0.190000, 0.283203
0.195000, 0.273438
0.200000, 0.268555
0.205000, 0.258789
0.210000, 0.244141
0.215000, 0.219727
0.220000, 0.195312
0.225000, 0.166016
0.230000, 0.117188
0.235000, 0.073242
0.240000, 0.024414
0.245000, -0.029297
0.250000, -0.087891
0.255000, -0.161133
0.260000, -0.224609
0.265000, -0.283203
0.270000, -0.346680
0.275000, -0.405273
0.280000, -0.458984
0.285000, -0.488281
0.290000, -0.512695
0.295000, -0.537109
0.300000, -0.546875
0.305000, -0.551758
0.310000, -0.546875
0.315000, -0.537109
0.320000, -0.512695
0.325000, -0.488281
0.330000, -0.468750
0.335000, -0.429688
0.340000, -0.395508
0.345000, -0.356445
0.350000, -0.317383
0.355000, -0.278320
0.360000, -0.234375
0.365000, -0.200195
0.370000, -0.156250
0.375000, -0.117188
0.380000, -0.073242
0.385000, -0.039062
0.390000, 0.000000
0.395000, 0.029297
0.400000, 0.068359
0.405000, 0.102539
0.410000, 0.126953
0.415000, 0.151367
0.420000, 0.180664
0.425000, 0.205078
0.430000, 0.229492
0.435000, 0.244141
0.440000, 0.263672
0.445000, 0.278320
0.450000, 0.292969
0.455000, 0.302734
0.460000, 0.312500
0.465000, 0.312500
0.470000, 0.322266
0.475000, 0.327148
0.480000, 0.327148
0.485000, 0.332031
0.490000, 0.332031
0.495000, 0.327148
0.500000, 0.322266
0.505000, 0.317383
0.510000, 0.317383
0.515000, 0.312500
0.520000, 0.307617
0.525000, 0.307617
0.530000, 0.297852
0.535000, 0.288086
0.540000, 0.278320
0.545000, 0.278320
0.550000, 0.263672
0.555000, 0.249023
0.560000, 0.229492
0.565000, 0.205078
0.570000, 0.175781
0.575000, 0.136719
0.580000, 0.087891
0.585000, 0.043945
0.590000, -0.014648
0.595000, -0.073242
0.600000, -0.136719
0.605000, -0.200195
0.610000, -0.273438
0.615000, -0.332031
0.620000, -0.390625
0.625000, -0.434570
0.630000, -0.473633
0.635000, -0.502930
0.640000, -0.537109
0.645000, -0.546875
0.650000, -0.546875
0.655000, -0.541992
0.660000, -0.537109
0.665000, -0.517578
0.670000, -0.493164
0.675000, -0.468750
0.680000, -0.439453
0.685000, -0.405273
0.690000, -0.371094
0.695000, -0.336914
0.700000, -0.292969
0.705000, -0.253906
0.710000, -0.214844
0.715000, -0.175781
0.720000, -0.126953
0.725000, -0.087891
0.730000, -0.058594
0.735000, -0.014648
0.740000, 0.019531
0.745000, 0.053711
0.750000, 0.087891
0.755000, 0.117188
0.760000, 0.146484
0.765000, 0.175781
0.770000, 0.195312
0.775000, 0.224609
0.780000, 0.239258
0.785000, 0.249023
0.790000, 0.268555
0.795000, 0.288086
0.800000, 0.297852
0.805000, 0.307617
0.810000, 0.317383
0.815000, 0.322266
0.820000, 0.322266
0.825000, 0.322266
0.830000, 0.332031
0.835000, 0.332031
0.840000, 0.327148
0.845000, 0.327148
0.850000, 0.322266
0.855000, 0.317383
0.860000, 0.312500
0.865000, 0.312500
0.870000, 0.302734
0.875000, 0.297852
0.880000, 0.292969
0.885000, 0.278320
0.890000, 0.273438
0.895000, 0.268555
0.900000, 0.253906
0.905000, 0.234375
0.910000, 0.214844
0.915000, 0.185547
0.920000, 0.146484
0.925000, 0.107422
0.930000, 0.053711
0.935000, 0.000000
0.940000, -0.053711
0.945000, -0.117188
0.950000, -0.185547
0.955000, -0.244141
0.960000, -0.312500
0.965000, -0.371094
0.970000, -0.424805
0.975000, -0.468750
0.980000, -0.498047
0.985000, -0.522461
0.990000, -0.537109
0.995000, -0.541992
1.000000, -0.546875
1.005000, -0.537109
1.010000, -0.522461
1.015000, -0.502930
1.020000, -0.473633
1.025000, -0.444336
1.030000, -0.419922
1.035000, -0.375977
1.040000, -0.341797
1.045000, -0.302734
1.050000, -0.263672
1.055000, -0.229492
1.060000, -0.185547
1.065000, -0.146484
1.070000, -0.102539
1.075000, -0.063477
1.080000, -0.024414
1.085000, 0.009766
1.090000, 0.043945
1.095000, 0.078125
1.100000, 0.107422
1.105000, 0.136719
1.110000, 0.161133
1.115000, 0.195312
1.120000, 0.214844
1.125000, 0.234375
1.130000, 0.249023
1.135000, 0.273438
1.140000, 0.288086
1.145000, 0.292969
1.150000, 0.297852
1.155000, 0.312500
1.160000, 0.322266
1.165000, 0.322266
1.170000, 0.322266
1.175000, 0.327148
1.180000, 0.327148
1.185000, 0.322266
1.190000, 0.322266
1.195000, 0.322266
1.200000, 0.322266
1.205000, 0.312500
1.210000, 0.312500
1.215000, 0.302734
1.220000, 0.297852
1.225000, 0.292969
1.230000, 0.283203
1.235000, 0.273438
1.240000, 0.268555
1.245000, 0.258789
1.250000, 0.239258
1.255000, 0.219727
1.260000, 0.190430
1.265000, 0.151367
1.270000, 0.117188
1.275000, 0.073242
1.280000, 0.019531
1.285000, -0.039062
1.290000, -0.097656
1.295000, -0.161133
1.300000, -0.224609
1.305000, -0.292969
1.310000, -0.361328
1.315000, -0.405273
1.320000, -0.454102
1.325000, -0.488281
1.330000, -0.517578
1.335000, -0.537109
1.340000, -0.541992
1.345000, -0.541992
