0.000000, 0.639648
0.005000, 0.615234
0.010000, 0.595703
0.015000, 0.566406
0.020000, 0.546875
0.025000, 0.507812
0.030000, 0.478516
0.035000, 0.439453
0.040000, 0.415039
0.045000, 0.380859
0.050000, 0.346680
0.055000, 0.312500
0.060000, 0.283203
0.065000, 0.258789
0.070000, 0.229492
0.075000, 0.195312
0.080000, 0.170898
0.085000, 0.146484
0.090000, 0.126953
0.095000, 0.107422
0.100000, 0.087891
0.105000, 0.068359
0.110000, 0.058594
0.115000, 0.043945
0.120000, 0.043945
0.125000, 0.024414
0.130000, 0.024414
0.135000, 0.019531
0.140000, 0.019531
0.145000, 0.014648
0.150000, 0.009766
0.155000, 0.014648
0.160000, 0.009766
0.165000, 0.019531
0.170000, 0.019531
0.175000, 0.019531
0.180000, 0.019531
0.185000, 0.024414
0.190000, 0.019531
0.195000, 0.024414
0.200000, 0.019531
0.205000, 0.014648
0.210000, 0.009766
0.215000, 0.014648
0.220000, 0.004883
0.225000, 0.000000
0.230000, 0.000000
0.235000, -0.009766
0.240000, -0.014648
0.245000, -0.029297
0.250000, -0.034180
0.255000, -0.043945
0.260000, -0.053711
0.265000, -0.058594
0.270000, -0.063477
0.275000, -0.068359
0.280000, -0.078125
0.285000, -0.078125
0.290000, -0.073242
0.295000, -0.063477
0.300000, -0.058594
0.305000, -0.048828
0.310000, -0.043945
0.315000, -0.029297
0.320000, -0.009766
0.325000, 0.000000
0.330000, 0.019531
0.335000, 0.043945
0.340000, 0.058594
0.345000, 0.078125
0.350000, 0.097656
0.355000, 0.117188
0.360000, 0.136719
0.365000, 0.151367
0.370000, 0.161133
0.375000, 0.175781
0.380000, 0.180664
0.385000, 0.180664
0.390000, 0.166016
0.395000, 0.151367
0.400000, 0.131836
0.405000, 0.102539
0.410000, 0.058594
0.415000, 0.014648
0.420000, -0.039062
0.425000, -0.097656
0.430000, -0.161133
0.435000, -0.229492
0.440000, -0.292969
0.445000, -0.356445
0.450000, -0.415039
0.455000, -0.468750
0.460000, -0.512695
0.465000, -0.546875
0.470000, -0.571289
0.475000, -0.585938
0.480000, -0.595703
0.485000, -0.595703
0.490000, -0.585938
0.495000, -0.566406
0.500000, -0.546875
0.505000, -0.517578
0.510000, -0.488281
0.515000, -0.449219
0.520000, -0.400391
0.525000, -0.356445
0.530000, -0.312500
0.535000, -0.273438
0.540000, -0.205078
0.545000, -0.156250
0.550000, -0.102539
0.555000, -0.048828
0.560000, 0.000000
0.565000, 0.053711
0.570000, 0.102539
0.575000, 0.151367
0.580000, 0.195312
0.585000, 0.239258
0.590000, 0.283203
0.595000, 0.317383
0.600000, 0.341797
0.605000, 0.380859
0.610000, 0.405273
0.615000, 0.434570
0.620000, 0.454102
0.625000, 0.468750
0.630000, 0.483398
0.635000, 0.488281
0.640000, 0.498047
0.645000, 0.498047
0.650000, 0.502930
0.655000, 0.498047
0.660000, 0.493164
0.665000, 0.488281
0.670000, 0.478516
0.675000, 0.468750
0.680000, 0.449219
0.685000, 0.424805
0.690000, 0.395508
0.695000, 0.356445
0.700000, 0.307617
0.705000, 0.253906
0.710000, 0.170898
0.715000, 0.087891
0.720000, -0.004883
0.725000, -0.107422
0.730000, -0.229492
0.735000, -0.341797
0.740000, -0.468750
0.745000, -0.585938
0.750000, -0.688477
0.755000, -0.786133
0.760000, -0.874023
0.765000, -0.937500
0.770000, -0.996094
0.775000, -1.040039
0.780000, -1.064453
0.785000, -1.083984
0.790000, -1.083984
0.795000, -1.074219
0.800000, -1.049805
0.805000, -1.015625
0.810000, -0.971680
0.815000, -0.922852
0.820000, -0.859375
0.825000, -0.795898
0.830000, -0.722656
0.835000, -0.649414
0.840000, -0.571289
0.845000, -0.493164
0.850000, -0.405273
0.855000, -0.312500
0.860000, -0.239258
0.865000, -0.161133
0.870000, -0.073242
0.875000, 0.004883
0.880000, 0.083008
0.885000, 0.161133
0.890000, 0.234375
0.895000, 0.297852
0.900000, 0.361328
0.905000, 0.415039
0.910000, 0.468750
0.915000, 0.512695
0.920000, 0.551758
0.925000, 0.585938
0.930000, 0.620117
0.935000, 0.639648
0.940000, 0.654297
0.945000, 0.673828
0.950000, 0.678711
0.955000, 0.683594
0.960000, 0.678711
0.965000, 0.673828
0.970000, 0.664062
0.975000, 0.654297
0.980000, 0.629883
0.985000, 0.610352
0.990000, 0.585938
0.995000, 0.556641
1.000000, 0.537109
1.005000, 0.502930
1.010000, 0.473633
1.015000, 0.449219
1.020000, 0.410156
1.025000, 0.375977
1.030000, 0.346680
1.035000, 0.312500
1.040000, 0.288086
1.045000, 0.258789
1.050000, 0.229492
1.055000, 0.200195
1.060000, 0.175781
1.065000, 0.156250
1.070000, 0.126953
1.075000, 0.112305
1.080000, 0.087891
1.085000, 0.073242
1.090000, 0.058594
1.095000, 0.039062
1.100000, 0.024414
1.105000, 0.000000
1.110000, -0.009766
1.115000, -0.029297
1.120000, -0.048828
1.125000, -0.053711
1.130000, -0.078125
1.135000, -0.083008
1.140000, -0.097656
1.145000, -0.102539
1.150000, -0.107422
1.155000, -0.107422
1.160000, -0.107422
1.165000, -0.097656
1.170000, -0.087891
1.175000, -0.078125
1.180000, -0.068359
1.185000, -0.053711
1.190000, -0.039062
1.195000, -0.019531
1.200000, 0.000000
1.205000, 0.019531
1.210000, 0.039062
1.215000, 0.058594
1.220000, 0.083008
1.225000, 0.102539
1.230000, 0.122070
1.235000, 0.146484
1.240000, 0.161133
1.245000, 0.185547
1.250000, 0.200195
1.255000, 0.209961
1.260000, 0.234375
1.265000, 0.234375
1.270000, 0.229492
1.275000, 0.219727
1.280000, 0.195312
1.285000, 0.170898
1.290000, 0.126953
1.295000, 0.078125
1.300000, 0.024414
1.305000, -0.043945
1.310000, -0.117188
1.315000, -0.195312
1.320000, -0.278320
1.325000, -0.356445
1.330000, -0.439453
1.335000, -0.512695
1.340000, -0.576172
1.345000, -0.625000
1.350000, -0.664062
1.355000, -0.698242
1.360000, -0.722656
1.365000, -0.727539
1.370000, -0.732422
1.375000, -0.727539
1.380000, -0.712891
1.385000, -0.688477
1.390000, -0.659180
1.395000, -0.625000
1.400000, -0.581055
1.405000, -0.532227
1.410000, -0.478516
1.415000, -0.429688
1.420000, -0.366211
1.425000, -0.302734
1.430000, -0.244141
1.435000, -0.180664
1.440000, -0.117188
1.445000, -0.058594
1.450000, -0.004883
1.455000, 0.063477
1.460000, 0.122070
1.465000, 0.170898
1.470000, 0.234375
1.475000, 0.273438
1.480000, 0.312500
1.485000, 0.361328
1.490000, 0.395508
1.495000, 0.429688
1.500000, 0.463867
1.505000, 0.493164
1.510000, 0.507812
1.515000, 0.522461
1.520000, 0.541992
1.525000, 0.541992
1.530000, 0.556641
1.535000, 0.556641
1.540000, 0.556641
1.545000, 0.546875
1.550000, 0.541992
1.555000, 0.532227
1.560000, 0.517578
1.565000, 0.502930
1.570000, 0.488281
1.575000, 0.463867
1.580000, 0.444336
1.585000, 0.419922
1.590000, 0.385742
1.595000, 0.366211
1.600000, 0.322266
1.605000, 0.278320
1.610000, 0.224609
